門市名稱,地址,營業時間,座標,電話,,親子友善空間,手沖體驗門市,座位30席以上,輕食早午餐,手做蛋糕,貝果,免費Wifi,會議型空間租借,高鐵TGO兌換
新莊中正門市,新北市 新莊區 中正路879-1號1樓,週一至週日 7:00-17:00,"25.026431,121.418095",02-2901-5252,,無,無,有,有,有,有,有,無,無
汐止福德門市,新北市 汐止區 福德一路118號,週一至週日 07:00-16:30,"25.0677576,121.637338",02-2695-3639,,無,無,有,有,有,有,有,無,無
內湖家樂福門市,台北市 內湖區 民善街88號,"週一到週五 08:00-21:00
               週六、週日 09:30-21:30","25.0601551,121.5749954",02-2791-1613,,無,無,有,有,有,有,有,無,有
民生富錦直營門市,台北市 松山區 三民路113巷1-3號,週一至週日 07:00-21:00,"25.0578551,121.5633197",02-2756-9616,,無,有,有,有,有,有,有,無,有
美術館門市,高雄市 鼓山區 青海路112號,週一至週日 7:00-22:00,"22.6516331,120.2883504",07-522-6677,,無,有,有,有,有,有,有,無,無
桂林門市,台北市 萬華區 桂林路26號,週一至週日 07:30-21:00,"25.0376261,121.5052878",02-2308-5252,,無,有,有,有,有,無,有,無,無
進化門市,台中市 北區 進化路571-2號,週一至週日 07:00-19:00,"24.1595007,120.6942362",04-2233-1068,,無,無,有,有,有,有,有,無,無
東安門市,台南市 東區 東安路100號,週一至週日 07:00-21:00,"22.9932979,120.2267221",06-236-8613,,無,無,無,有,有,無,有,無,有
新豐鑫豐門市,新竹縣 新豐鄉 建興路一段155號,週一至週日 07:00-19:00,"24.8741695,120.9944157",03-557-2566,,無,無,有,有,有,有,有,無,無
樹林興仁花園門市,新北市 樹林區 保安街二段70號,週一至週日 7:00-20:00,"25.0032137,121.4153858",02-2686-5462,,無,無,有,有,有,無,有,無,無
新竹武陵門市,新竹市 北區 武陵路173-3號,週一至週日 07:00-18:00,"24.8211323,120.9683633",03-545-3123,,無,有,有,有,有,有,有,無,無
桃園南崁門市,桃園市 蘆竹區 南崁路290號,週一至週日 07:30-20:00,"25.0496471,121.2930007",03-311-1122,,無,無,有,有,有,有,有,無,無
圓山直營門市,台北市 大同區 酒泉街35號,"週一至週五 07:00-21:00
               週六、週日 07:30-21:00","25.0707289,121.5190034",02-2586-3613,,無,有,有,有,有,有,有,無,有
昌盛門市,高雄市 鼓山區 昌盛路292號,週一至週日 7:30-21:00,"22.6640696,120.2991137",07-552-7096,,無,無,有,有,有,有,有,無,無
六家文興門市,新竹縣 竹北市 文興路二段96號,週一至週日 07:00-21:00,"24.8074498,121.0348384",03-550-5633,,無,有,有,有,有,有,有,無,無
景美SOHO門市,台北市 文山區 羅斯福路六段146號,"週一至週五 07:00-21:00
               週六、週日 07:30-21:00","24.9954594,121.5410196",02-2931-9613,,無,有,有,有,有,有,有,無,有
台南長榮門市,台南市 東區 長榮路二段178號,週一至週日 07:00-21:00,"22.990102,120.2207139",06-276-0288,,無,無,有,有,有,有,有,無,無
中和南華門市,新北市 中和區 南華路65號,週一至週日 07:30-20:30,"24.9973195,121.5044863",02-2243-3002,,無,無,有,有,有,無,有,無,無
高雄孟子門市,高雄市 左營區 孟子路178-1號,週一至週日 07:00-21:00,"22.6738945,120.3124943",07-345-3535,,無,無,有,有,有,有,有,無,無
台中文心一門市,台中市 南屯區 文心路一段376號,週一至週日 07:30-19:30,"24.149417,120.6469254",04-2320-0052,,無,無,有,有,有,有,有,無,無
青埔明日門市,桃園市 中壢區 領航南路一段73號,週一至週日 7:00-16:30,"25.0010479,121.2043302",03-287-2987,,無,無,有,有,有,有,有,無,無
德行西門市,台北市 士林區 德行西路36號1樓,"週一至週五 07:00-21:00
               週六、週日 07:30-21:00","25.1052531,121.5231599",02-2831-9613,,無,有,有,有,有,有,有,無,有
台大西址門市,台北市 中正區 常德街1號,"週一至週五 07:00-18:00
               週六 08:00-14:00
               週日依店內公告","25.0413975,121.5176339",02-2381-0618,,無,無,有,有,有,有,有,無,無
桃園桃大極門市,桃園市 八德區 金和路60號,週一至週日 07:00-21:00,"24.9552418,121.296823",03-363-6065,,無,無,有,有,有,有,有,無,無
龜山中興門市,桃園市 龜山區 中興路一段37號,週一至週日 07:00-20:00,"24.9941498,121.3379345",03-329-1766,,無,無,有,有,有,有,有,無,無
桃園莊敬門市,桃園市 桃園區 莊敬路二段47號,週一至週日 7:00-18:30,"25.0225225,121.2935146",03-317-7098,,無,無,有,有,有,有,有,無,無
中壢南園門市,桃園市 中壢區 南園二路81號,週一至週日 7:00-19:00,"24.9715086,121.2337401",03-463-6766,,無,無,有,有,有,有,有,無,無
台中精密園區門市,台中市 南屯區 精科路112號,週一至週日 07:00-19:00,"24.1488419,120.6081885",04-2359-9671,,無,無,有,有,有,有,有,無,無
竹北博愛門市,新竹縣 竹北市 博愛街239號,週一至週日 07:00-21:00,"24.833378,121.0063774",03-656-5768,,無,無,有,有,有,有,有,無,無
內壢忠孝門市,桃園市 中壢區 忠孝路83號,週一至週日 07:00-20:30,"24.974514,121.255563",03-451-2232,,無,無,有,有,有,有,有,無,無
三峽國際門市,新北市 三峽區 國際一街1號1樓,週一至週日 07:00-17:00,"24.9431826,121.3747296",02-2673-0755,,無,無,有,有,有,有,有,無,無
新光保險小舖門市,台北市 中正區 忠孝西路一段50號1樓,"週一至週五 07:00-19:00
週六至週日 07:30-18:00","25.046265782702758, 121.51587105332781",02 -2311-6613,,無,有,有,有,有,有,有,無,有
新店央北門市,新北市 新店區 央北一路102號,週一至週日 7:00-20:00,"24.9777598,121.5270394",02-8667-1999,,無,無,有,有,有,有,有,無,無
林口忠孝門市,新北市 林口區 忠孝一路12號,"週一至週五 7:00-19:00
週六、週日 07:30-19:30","25.0731835,121.3644381",02-2609-0225,,無,無,有,有,有,有,有,無,無
台東中華門市,台東縣 台東市 中華路一段421號1-3樓,週一至週日 7:00-21:30,"22.75340601,121.15237451",089-333686,,無,無,有,有,有,有,有,有,無
台南善化門市,台南市 善化區 文昌里中正路365號,7:00-17:30,"23.127156197023787, 120.2939089143425",06-581-1039,,無,無,有,有,有,無,無,無,無
第三波咖啡 棧貳庫門市,高雄市 鼓山區 蓬萊路17號櫃號2108,"週日至週四 10:00-21:00
               週五、週六 10:00-22:00","22.6186461,120.2777946",07-531-0660,,無,無,有,有,有,有,有,無,無
屏東門市,屏東縣 屏東市 中華路80號1樓,週一至週日 07:00-22:00,"22.67418876181807, 120.49065963634317",08-732-5020,,無,有,有,有,有,有,有,無,無
新店安康門市,新北市 新店區 安康路二段95號,"週一至週五 07:00-20:00
               週六、週日 07:00-19:00","24.9626839,121.5130919",02-2211-1889,,無,無,有,有,有,有,有,無,無
板橋國光門市,新北市 板橋區 國光路189-5號,週一至週日 07:00-22:00,"25.0186544,121.4614429",02-2254-7910,,無,無,有,有,有,無,有,無,無
內湖CITY LINK門市,台北市 內湖區 成功路四段188號,"週日至週四 07:30-21:30
               週五、週六 07:30-22:00
               (提供外送服務)","25.0846317,121.5938439",02-8791-7331,,無,有,有,有,有,有,有,無,無
台南郡平門市,台南市 安平區 郡平路131號,週一至週日 07:00-20:00,"22.988842,120.1697132",06-299-9056,,無,無,有,有,有,有,有,無,無
興大門市,台中市 南區 興大路145號1樓(中興大學學生餐廳),週一至週日 07:00-19:00,"24.12358275562095, 120.67691505058187",04-2285-6137,,無,無,有,有,有,有,有,無,無
永和安樂門市,新北市 永和區 安樂路270號,週一至週日 07:00-20:00,"25.0040502,121.5146987",02-2922-1588,,無,無,有,有,有,有,有,無,無
基隆仁二門市,基隆市 仁愛區 仁二路66號,週一至週日 07:30-20:30,"25.12784,121.749331",02-2428-1678,,無,無,有,有,有,有,有,無,無
中和宜安直營門市,新北市 中和區 宜安路180號,週一至週日 07:00-21:00,"24.9993238,121.508608",02-8923-0568,,無,有,有,有,有,有,有,無,無
精誠門市,台中市 西區 精誠路7-2號,週一至週日 7:30-18:00,"24.15643581,120.65682291",04-2327-1585,,無,無,有,有,有,有,有,無,無
淡水水源門市,新北市 淡水區 水源街1段91號1樓,週一至週日 07:00-22:00,"25.1723519,121.4455682",02-8631-0221,,無,無,有,有,有,有,有,無,無
新竹建中門市,新竹市 東區 建中路71號,週一至週日 07:00-21:00,"24.8023542,120.9953539",03-572-9777,,無,無,有,有,有,有,有,無,無
桃園中正門市,桃園市 桃園區 中正路103號,週一至週日 07:00-21:00,"24.9926279,121.3119931",03-335-1613,,無,有,有,有,有,有,有,無,有
南昌直營門市,台北市 中正區 南昌路一段123號1樓,週一至週日 07:00-17:00,"25.0299438,121.5183082",02-2351-1613,,無,無,有,有,有,有,有,無,有
高醫門市,高雄市 三民區 自由一路56號,週一至週日 07:00-21:00,"22.6437795,120.3088302",07-311-1613,,無,有,有,有,有,有,有,無,有
新竹關埔門市,新竹市 東區 埔頂二路2號,週一至週日 07:00-21:00,"24.7904145,121.0148537",03-577-6700,,無,無,有,有,有,有,有,無,無
基隆新豐門市,基隆市 中正區 新豐街233號,週一至週日 07:00-18:30,"25.1368243,121.7883431",02-2469-3550,,無,無,有,有,有,無,有,無,無
松江農安門市,台北市 中山區 松江路363號1樓,週一至週日 07:00-20:30,"25.0638392,121.5335074",02-2502-3613,,無,無,有,有,有,有,有,無,有
淡水新市直營門市,新北市 淡水區 新市一路三段100號,週一至週日 07:00-22:00,"25.1828246,121.4461166",02-2625-3613,,無,有,有,有,有,有,有,無,有
台南東門門市,台南市 東區 東門路三段180、182號,"週一至週五 07:00-19:00
               週六、週日 08:00-20:00","22.977976,120.2334442",06-267-1461,,無,無,有,有,有,無,有,無,無
新板特區門市,新北市 板橋區 區運路105號,週一至週日 07:00-21:00,"25.0116937,121.4685575",02-2956-6363,,無,有,有,有,有,有,有,無,無
桃園八德興豐門市,桃園市 八德區 興豐路416號,週一至週日 07:00-21:00,"24.9295278,121.2892313",03-368-3613,,無,有,有,有,有,有,有,無,有
永春門市,台北市 信義區 忠孝東路五段458號1樓,週一至週日 07:00-21:00,"25.0406569,121.576525",02-2345-0613,,無,無,有,有,有,有,有,無,有
大墩向心門市,台中市 南屯區 大墩路301號,週一至週日 07:00-21:00,"24.1440621,120.6497127",04-2472-6613,,無,無,有,有,有,有,有,無,無
十甲東門市,台中市 東區 十甲東路566號,週一至週日 07:00-21:00,"24.1407604,120.7082962",04-2215-2666,,無,無,有,有,有,有,有,無,無
南港展覽館直營門市,台北市 南港區 經貿二路1號1樓 商店街106-2,"週一至週五 7:30-16:30
               週六、週日公休（依展覽活動調整）","25.0568065,121.6173125",02-2786-2613,,無,無,無,有,有,有,有,無,有
基河新光門市,台北市 士林區 基河路250號,週一至週日 07:30-21:00,"25.091683127134566, 121.52101377061585",02-2880-5613,,無,無,有,有,有,有,有,無,有
師大直營門市,台北市 大安區 和平東路一段79號,"週一至週五 07:00-22:30
               週六、週日 07:30-22:30","25.0270872,121.525325",02-2396-1613,,無,有,有,有,有,有,有,無,有
桃園大竹門市,桃園市 蘆竹區 大竹路440號1樓,週一至週日 07:00-21:00,"25.021663136795276, 121.26311190688807",03-323-3969,,無,無,有,有,有,有,有,無,無
員林莒光門市,彰化縣 員林市 莒光路328號,週一至週日 07:00-21:30,"23.9598335,120.5669366",04-839-3613,,無,無,有,有,有,有,有,無,無
大昌覺民門市,高雄市 三民區 大昌二路89號,週一至週日 07:00-23:00,"22.6410055,120.3320324",07-381-0088,,無,有,有,有,有,無,有,無,無
成大勝利門市,台南市 東區 勝利路125號,週一至週日 07:00-19:00,"22.9948601,120.2179307",06-236-1613,,無,無,有,有,有,有,有,無,無
台南文元門市,台南市 北區 海安路三段800號,週一至週日 07:00-20:00,"23.0157778,120.2006019",06-252-5222,,無,有,有,有,有,有,有,無,無
漢口門市,台中市 西屯區 漢口路二段110-7號,週一至週日 06:30-19:00,"24.164895210308533, 120.66142177386737",04-2312-9987,,無,無,有,有,有,有,有,無,無
大里永隆門市,台中市 大里區 永隆路35號,週一至週日 07:00-21:00,"24.104856,120.6773841",04-2407-8212,,無,無,有,有,有,無,有,無,無
汐止大同門市,新北市 汐止區 大同路二段312巷18號,週一至週日 07:30-21:00,"25.0656979,121.6558914",02-8691-0613,,無,無,有,有,有,有,有,無,有
板橋合宜門市,新北市 板橋區 合宜路175號1樓,週一至週日 07:00-17:00,"24.9984689,121.4470771",02-8969-7442,,無,無,有,有,有,無,有,無,無
台南北安門市,台南市 安南區 北安路二段262號,"週一至週五 07:00-20:00
週六、週日 07:00-20:30
親子室開放時間(尚未開放)","23.0321599,120.2045469",06-246-9613,,有,無,有,有,有,有,有,無,有
宜蘭礁溪門市,宜蘭縣 礁溪鄉 礁溪路五段48號,"週一至週四 07:30-20:00
               週五至週日 07:30-21:30","24.8259359,121.7714988",03-988-0766,,無,無,有,有,有,無,有,無,無
桃園埔心門市,桃園市 楊梅區 永美路235號,週一至週日 07:00-21:00,"24.9189658,121.1837598",03-431-3800,,無,無,有,有,有,無,有,無,無
正興建功門市,高雄市 三民區 正興路173、175號,週一至週日 07:00-21:30,"22.64722556290143, 120.31961432690686",07-392-6653,,無,無,有,有,有,有,有,無,無
台南大同門市,台南市 中西區 大同路一段214號1樓,週一至週日 07:00-21:00,"22.982674183890254, 120.21118176592023",06-216-0098,,無,無,有,有,有,有,有,無,無
天母忠誠門市,台北市 士林區 天母東路67之1號,"週一至週五07:00-19:00
週末7:30-19:00","25.118262,121.5343986",02-2871-3613,,無,有,有,有,有,有,無,無,有
桃園台茂門市,桃園市 蘆竹區 南崁路一段112號6樓,"週一至週四 11:00-22:00
               週五 11:00-22:30
               週六 10:30-22:30
               週日 10:30-22:00","25.053661261386893, 121.28854906018677",03-311-2613,,無,無,有,有,有,有,無,無,無
泰山十八甲門市,新北市 泰山區 仁愛路122號,週一至週日 07:00-18:00,"25.0556756,121.4337733",02-2900-0613,,無,有,有,有,有,無,有,無,無
板橋環球門市,新北市 板橋區 縣民大道二段7號B1,週一至週日 06:30-22:00,"25.01424051361857, 121.46365194059642",02-8969-2613,,無,無,無,有,有,有,有,無,無
高醫大校區門市,高雄市 三民區 十全一路100號(國研大樓1F),"週一至週五 07:00-20:30
               週六、週日 08:00-16:00","22.64647342519036, 120.3106986233613",07-311-2613,,無,有,有,有,有,有,無,無,有
新北市立圖書館門市,新北市 板橋區 貴興路139號,"週一 08:30-17:00
               週二至週日 08:30-20:30","25.0013933,121.4550959",02-2959-3613,,無,有,有,有,有,有,無,無,有
桃園大觀門市,桃園市 觀音區 大觀路二段178-2號,週一至週日 07:00-20:30,"25.0459254,121.1407808",03-483-8509,,無,無,有,有,有,無,有,無,無
文心森林公園門市,台中市 南屯區 惠文路525號、527號,週一至週日 07:30-17:00,"24.146274441541784, 120.64349189028373",04-2382-4613,,無,有,有,有,有,有,有,無,有
路易莎松山生活運動門市,台北市 松山區 市民大道六段131號,週一至週日 07:00-21:00,"25.0496652,121.5788076",02-2747-1613,,無,無,有,有,有,有,有,無,有
台中大雅門市,台中市 大雅區 學府路459號,週一至週五 6:30-16:00 周末 7:00-16:00,"24.2285413,120.64735",04-2566-1088,,無,無,有,有,有,有,有,無,無
忠孝SOGO門市,台北市 大安區 復興南路一段133之1號,週一至週日 07:00-22:00,"25.042765,121.544204",02-2775-4613,,無,無,有,有,有,有,有,無,有
高雄澄清門市,高雄市 三民區 澄清路519號,週一至週日 07:00-23:00,"22.6418694,120.3454791",07-381-0066,,無,有,有,有,有,有,有,無,無
八德廣豐門市,桃園市 八德區 大智路102號1樓,週一至週日 07:00-21:00,"24.96485511693059, 121.29651859773645",03-366-0456,,無,無,有,有,有,有,有,無,無
高雄重愛門市,高雄市 左營區 自由四路320號,週一至週日 07:00-22:00,"22.68486,120.3165679",07-345-4613,,無,有,有,有,有,有,有,無,有
台南復國門市,台南市 永康區 復國一路339-1號,週一至週日 07:00-19:00,"23.0113201,120.246068",06-201-1859,,無,無,有,有,有,有,有,無,無
桃園大興門市,桃園市 桃園區 大興西路一段179-1號,"週一至週四 07:00-21:00
               週五、例假日 07:00-21:30","25.0140032,121.3044739",03-326-7555,,無,無,有,有,有,有,有,無,無
台南麻豆門市,台南市 麻豆區 中山路129號,週一至週日 07:00-22:00,"23.1835679,120.2450871",06-571-6638,,無,無,有,有,有,有,有,無,無
板橋新埔門市,新北市 板橋區 民生路三段21號,週一至週日 07:00-21:30,"25.0239758,121.466987",02-2254-3613,,無,無,有,有,有,有,有,無,有
林口高中門市,新北市 林口區 仁愛路二段188、190號,"週一至週日 07:00-21:00
               疫情期間另行公告","25.073954191706388, 121.38053832052188",02-2602-4613,,無,有,有,有,有,有,有,無,有
一中門市,台中市 北區 雙十路一段125號,週一至週日 07:00-17:00,"24.1487806,120.6869457",04-2223-1613,,無,無,有,有,有,有,有,無,無
新竹巨城門市,新竹市 東區 民生路99號,週一至週日 07:00-22:00,"24.8094169,120.9774416",03-533-4613,,無,無,有,有,有,有,有,無,有
斗六中堅門市,雲林縣 斗六市 中堅西路533號,週一至週日 07:00-19:00,"23.7007108,120.5351872",05-533-1815,,無,無,有,有,有,有,有,無,無
景賢門市,台中市 北屯區 景賢路232號,週一至週日 07:00-21:00,"24.1671176,120.7241059",04-2436-2205,,無,無,有,有,有,有,有,無,無
金山南門市,台北市 中正區 金山南路一段8號1樓,週一至週日 07:00-20:30,"25.042341895336364, 121.52942087762305",02-2358-3613,,無,無,有,有,有,有,有,無,有
八德忠勇門市,桃園市 八德區 忠勇六街3號,週一至週日 07:00-19:30,"24.9648111,121.3051496",03-366-8066,,無,無,有,有,有,有,有,無,無
嘉義圓環門市,嘉義市 西區 中山路294號,週一至週日 07:30-21:00,"23.4800806,120.4493583",05-225-0613,,無,無,有,有,有,有,有,無,有
龜山文青門市,桃園市 龜山區 文青路199號,週一至週日 07:00-21:00,"25.040296351103425, 121.38858010242609",03-327-8613,,無,有,有,有,有,有,有,無,有
高雄重上門市,高雄市 左營區 文萊路284、286號,週一至週日 07:00-21:00,"22.67729826059717, 120.30250289927733",07-348-1613,,無,無,有,有,有,有,有,無,有
豐原三民門市,台中市 豐原區 三民路192號,週一至週日 07:00-22:00,"24.2535127,120.7179477",04-2512-1700,,無,無,有,有,有,有,有,無,無
新竹市府門市,新竹市 北區 北大路162號,週一至週日 07:00-22:00,"24.8099081,120.967763",03-533-5613,,有,有,有,有,有,有,有,無,有
中科直營門市,台中市 西屯區 福科路579號,週一至週日 07:00-21:00,"24.186482,120.6147683",04-2462-4613,,無,有,有,有,有,有,有,無,有
三峽桃子腳門市,新北市 樹林區 學成路709號,週一至週日 07:00-21:00,"24.9468457,121.3837928",02-2680-3613,,無,有,有,有,有,有,有,無,有
五股洲子洋門市,新北市 五股區 芳洲八路132號、136號,週一至週日 07:00-21:00,"25.08826703506676, 121.44668242840008",02-2291-4613,,無,無,有,有,有,有,有,無,有
林口扶輪公園門市,新北市 林口區 文化三路一段460、462號,週一至週日 07:00-22:00,"25.075002106398134, 121.36926531052951",02-2608-1613,,無,無,有,有,有,有,有,無,有
葫洲成功門市,台北市 內湖區 成功路五段466號1樓、462號2樓,週一至週日 07:30-21:30,"25.073212824514723, 121.606569673993",02- 2633-1613,,無,無,有,有,有,有,有,無,有
板橋莊敬門市,新北市 板橋區 莊敬路41號,週一至週日 07:00-21:00,"25.027030828847945, 121.47328233283999",02-2254-5613,,無,無,有,有,有,有,有,無,有
高雄鼎祥門市,高雄市 三民區 鼎祥街98號,週一至週日 07:00-17:30,"22.6664161,120.3160446",07-359-6007,,無,無,有,有,有,無,有,無,無
中壢過嶺門市,桃園市 中壢區 民族路五段308號,"週一至週五 07:00-16:30
               週六、週日 07:30-18:30","24.9585264,121.1703847",03-490-8875,,無,無,有,有,有,無,有,無,無
新北投直營門市,台北市 北投區 中和街22號,週一至週日 07:00-21:00,"25.1379123,121.5031424",02-2897-2610,,無,無,有,有,有,有,有,無,有
台南華平門市,台南市 安平區 華平路269號,週一至週日 07:30-20:00,"22.989719147634965, 120.17467910489924",06-299-2698,,無,無,有,有,有,有,有,無,無
台南奇美門市,台南市 永康區 中華路903號,週一至週日 07:00-21:00,"23.0213258,120.2213687",06-283-0613,,無,無,有,有,有,有,無,無,有
第三波咖啡 環球A8門市,桃園市 龜山區 文化里1鄰復興一路8號,週一至週日 07:00-22:00,"25.060604,121.3700716",03-397-3613,,無,有,無,有,有,有,有,無,無
淡水沙崙直營門市,新北市 淡水區 沙崙路137號1、2樓,週一至週日 07:00-21:00,"25.182970636449173, 121.42309942424131",02-2805-2613,,無,無,有,有,有,有,有,無,有
太平育賢門市,台中市 太平區 育賢路265號,週一至週日 07:00-19:00,"24.158781264439458, 120.71667595554119",04-2392-5680,,無,無,有,有,有,有,有,無,無
高雄岡山門市,高雄市 岡山區 民有路60號,週一至週日 07:00-21:00,"22.7921885,120.2970662",07-623-0095,,無,無,有,有,有,有,有,無,無
台南佳里門市,台南市 佳里區 中山路392號,週一至週日 07:00-20:00,"23.1628712,120.1769034",06-723-7179,,無,無,有,有,有,有,有,無,無
三重忠孝門市,新北市 三重區 忠孝路二段99-1號,週一至週日 07:00-22:00,"25.0699389,121.4840162",02-2988-7272,,無,無,有,有,有,有,有,無,無
福德大道門市,台北市 信義區 福德街183號,週一至週日 07:30-18:00,"25.0380027,121.5840009",02-2727-0700,,無,無,有,有,有,有,有,無,無
大溪埔頂門市,桃園市 大溪區 員林路一段280號,"週一至週五 07:00-20:00
               週六、週日 07:00-18:00","24.8943771,121.2759845",03-389-6988,,無,無,有,有,有,無,有,無,無
雲林虎尾門市,雲林縣 虎尾鎮 新生路92號,週一至週日 07:00-18:00,"23.7079351,120.4371243",05-631-1778,,無,無,有,有,有,有,有,無,無
台南崑山門市,台南市 永康區 大灣路1006號,週一至週五 07:00-18:00 週六日及國定假日07:00-17:00,"22.9992598,120.2534801",06-205-8060,,無,無,有,有,無,有,有,無,無
榮星花園門市,台北市 中山區 民權東路三段16號,週一至週日 07:00-17:00,"25.0621173,121.5401308",02-2504-0613,,無,無,有,有,有,有,有,無,有
進化北門市,台中市 北區 進化北路378之39號,週一至週日 07:00-19:00,"24.1633517,120.6793199",04-2236-4980,,無,無,有,有,有,有,有,無,無
台中博館門市,台中市 北區 博館二街62號,週一至週日 07:00-20:00,"24.1539577,120.6671782",04-2321-0818,,無,無,有,有,有,有,有,無,無
捷運市府門市,台北市 信義區 忠孝東路五段33號,週一至週日 07:00-21:00,"25.041346,121.56597",02-2756-6613,,無,無,有,有,有,有,有,無,有
新竹綠光門市,新竹市 東區 中華路一段426號,週一至週日 07:00-21:00,"24.8108466,120.9851938",03-515-3566,,無,無,有,有,有,無,有,無,無
土城日月光門市,新北市 土城區 中央路二段61巷37號,"週日至週四 07:00-21:30
               週五、週六 07:00-22:00","24.9783373,121.4446902",02-2273-1613,,無,無,有,有,有,有,有,無,有
台中德富門市,台中市 南區 德富路30號,週一至週日 07:00-21:00,"24.120616235008608, 120.65346100120038",04-2265-0311,,無,無,有,有,有,有,有,無,無
台元聯發科門市,新竹縣 竹北市 台元街26號3樓之3,週一至週五 07:30-20:00,"24.841683930227404, 121.01266577939573",0982-443-146#24440,,無,無,有,有,有,有,有,無,有
台中梧棲門市,台中市 梧棲區 文化路二段280號,週一至週日 07:30-21:00,"24.2574633,120.5318424",04-2658-3297,,無,無,有,有,有,有,有,無,無
台北莊敬門市,台北市 信義區 莊敬路325巷36號,"週一至週五 07:00-22:00
               週六、週日 07:30-22:00","25.0285142,121.5643936",02-2345-3613,,無,無,有,有,有,有,有,無,有
彰化巫家門市,彰化縣 溪湖鎮 彰水路四段439巷151號,週一至週日 09:00-19:00,"23.9723004,120.4780753",04-885-0227,,無,無,有,有,有,有,有,無,無
葳格軍福門市,台中市 北屯區 松竹五路二段228號,週一至週日 07:00-17:00,"24.178127,120.7135884",04-2436-0348,,無,無,有,有,有,無,有,無,無
高雄凹仔底門市,高雄市 左營區 忠言路182號,週一至週日 07:00-22:30,"22.6584103,120.3037711",07-556-9292,,無,無,有,有,有,有,有,無,無
高雄青年仁愛門市,高雄市 新興區 青年一路210號,週一至週日 07:30-22:30,"22.6223364,120.3087546",07-215-1277,,無,無,有,有,有,有,有,無,無
竹東站前門市,新竹縣 竹東鎮 北興路2段3號,7:000-19:00,"24.737966,121.0939725",03-596-1717,,無,無,有,有,有,有,有,無,無
汐止夢想社區門市,新北市 汐止區 民族二街100號1樓,週一至週日 07:00-22:00,"25.069557908539437, 121.63241466653251",02-2692-2613,,無,無,有,有,有,有,有,無,有
新竹聯發科門市,新竹市 東區 力行三路11號,週一至週五 07:30-19:00,"24.7716539,121.0215865",03-567-0766#33181,,無,無,無,有,有,無,有,無,無
高雄大順建工門市,高雄市 三民區 建工路590號,週一至週日 07:00-22:00,"22.6496915,120.3235649",07-395-0700,,無,無,有,有,有,無,有,無,無
平鎮文化門市,桃園市 平鎮區 文化街25號,週一至週日 07:00-21:00,"24.9560075,121.2030632",03-494-9355,,無,無,有,有,有,有,有,無,無
中壢復興門市,桃園市 中壢區 復興路17號,週一至週日 07:00-22:00,"24.958039338730973, 121.22575825921483",03-427-2613,,無,無,有,有,有,有,有,無,有
頭份建國門市,苗栗縣 頭份市 建國路107號,週一至週日 07:00-19:00,"24.6946782,120.9115274",037-669-300,,無,無,有,有,有,有,有,無,無
后里美光門市,台中市 后里區 三豐路四段369號5,週一至週五 07:30-18:00,"24.31809361908189, 120.72409147732367",04-2558-2613,,無,無,有,有,有,有,無,無,有
東吳大學門市,台北市 士林區 臨溪路70號,週一至週五 07:00-20:00,"25.0944158,121.5455756",02-2888-3613,,無,無,有,有,有,有,有,無,有
淡水滬尾門市,新北市 淡水區 中正路一段2號2樓(L102櫃),"週日至週四 09:00-21:00
               週五、週六 09:00-21:30","25.17635999229629, 121.4289397390853",02-2626-5613,,無,無,有,有,有,有,有,無,無
北勢東門市,台中市 沙鹿區 北勢東路333號,週一至週日 07:00-21:00,"24.2183781,120.5793209",04-2632-1333,,無,無,有,有,有,無,有,無,無
天祥門市,高雄市 三民區 天祥一路146-1號,週一至週日 07:00-22:30,"22.6679329,120.3191538",07-310-9763,,無,無,有,有,有,無,有,無,無
東興門市,台中市 西區 向上南路一段168號,週一至週日 07:00-20:00,"24.1451398,120.6528831",04-2471-2383,,無,無,有,有,有,有,有,無,無
台北站前門市,台北市 中正區 忠孝西路一段38號B1-B櫃,週一至週五 07:00-16:00 週六至週日 08:00-16:00,"25.04626699394217, 121.51641479629983",02-2311-3800,,無,無,無,有,無,無,有,無,有
彰化彰美門市,彰化縣 彰化市 彰美路一段159號,週一至週日 07:00-20:00,"24.0883436,120.5382688",04-722-1691,,無,無,有,有,有,無,有,無,無
新竹站前門市,新竹市 東區 中正路2號1樓,週一至週日 07:00-21:00,"24.802341336963323, 120.97174863572074",03-528-6613,,無,無,有,有,有,有,有,無,有
中央大學門市,桃園市 中壢區 中大路300號(松苑餐廳),週一至週日 07:00-21:00,"24.966978339856652, 121.19078063474022",03-490-4613,,無,無,有,有,有,有,有,無,有
士林前港門市,台北市 士林區 前港街11號1樓,週一至週日 07:00-21:00,"25.084958551385583, 121.52269330296448",02-2882-2613,,無,無,有,有,有,無,有,無,有
健行門市,台中市 北區 健行路391號,週一至週日 06:30-23:00,"24.1589641,120.6822018",04-2238-3588,,無,無,有,有,有,無,有,無,無
基隆城上城門市,基隆市 安樂區 麥金路231之5號,週一至週日 07:00-16:00,"25.1222465,121.7212069",02-2433-3669,,無,無,有,有,有,無,有,無,無
新竹台積電8廠門市,新竹市 東區 力行路25號,週一至週日 07:30-19:00,"24.7627456,121.0193323",03-5636688 EXT:708165,,無,無,有,有,有,無,無,無,無
南港中信門市,台北市 南港區 經貿二路186 號b棟 3樓,週一至週日7:30~21:30,"25.059283580349067, 121.61537830483948",02-2788-1613,,無,無,有,有,有,無,有,無,無
