门市名称,地址,营业时间,座标,附加服务
民權西門市,台北市中山區民權西路62號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(25.062598, 121.520177)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
木柵門市,台北市文山區木柵路三段75號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:30,"(24.988713, 121.566859)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
敦富門市,台北市大安區敦化南路二段59號1樓,星期一、星期二、星期三、星期四、星期五 06:30~20:00，星期六、星期日 07:30~20:00,"(25.03108, 121.549145)","Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
崇興門市,台北市大安區忠孝東路三段300號B2,星期一、星期二、星期三、星期四、星期日 09:00~21:30，星期五、星期六 09:00~22:00,"(25.041501, 121.543089)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務"
內壢門市,桃園市中壢區中華路一段450號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:30~22:00,"(24.972136, 121.25313)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Outdoor Pickup 店外取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
崇光門市,台北市大安區忠孝東路四段45號B1,星期一、星期二、星期三、星期四 09:00~21:30，星期五、星期六、星期日 09:00~22:00,"(25.041692, 121.544811)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務"
復安門市,台北市大安區復興南路一段135巷9號,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:30~21:00,"(25.042687, 121.544827)",Starbucks Wi-Fi 無線上網
南京建國門市,台北市中山區南京東路三段1號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(25.052171, 121.537158)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
內壢中華門市,桃園市中壢區中華路一段669號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00,"(24.969073, 121.250324)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, DT Pickup 車道取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Drive-Thru 車道服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
桃園台茂門市,桃園市蘆竹區南崁路一段112號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 09:00~22:00,"(25.053046, 121.287707)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
松江門市,台北市中山區松江路210號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(25.057816, 121.532923)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
林森農安門市,台北市中山區林森北路568 & 568-1號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00,"(25.064833, 121.525595)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
重陽集賢門市,新北市三重區集賢路137號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00,"(25.089502, 121.489219)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
蘆竹大竹門市,桃園市蘆竹區大竹路430-1號,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00,"(25.021324, 121.263727)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Outdoor Pickup 店外取餐, DT Pickup 車道取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Drive-Thru 車道服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
龍門門市,台北市大安區忠孝東路四段134號,星期一、星期二、星期三、星期四、星期日 07:00~22:00，星期五、星期六 07:00~23:00,"(25.041409, 121.548252)","Nitro Cold Brew 氮氣冷萃咖啡, Pour Over 手沖咖啡, Starbucks Reserve™ 典藏咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
通化門市,台北市大安區文昌街209號,星期一、星期二、星期三、星期四、星期五 07:00~21:30，星期六、星期日 07:30~21:30,"(25.032516, 121.554426)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
松江錦州門市,台北市中山區松江路239號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(25.059199, 121.533434)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
庫倫承德門市,台北市大同區庫倫街51號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(25.072019, 121.518938)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
政大門市,台北市文山區指南路二段105號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:00,"(24.987746, 121.575662)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
仁愛國泰門市,台北市大安區仁愛路四段304號1樓,星期一、星期二、星期三、星期四、星期五 06:30~20:00，星期六 07:00~18:30，星期日 07:00~17:00,"(25.037338, 121.554550)","Nitro Cold Brew 氮氣冷萃咖啡, Starbucks Wi-Fi 無線上網"
同領門市,台北市大安區忠孝東路四段201號,星期一、星期二、星期三、星期四、星期日 07:30~22:30，星期五、星期六 07:30~23:00,"(25.041695, 121.55168)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
南京復興門市,台北市中山區南京東路三段224號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00,"(25.051706, 121.543883)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
中壢休息站門市,桃園市中壢區內定二街998之3號 (中山高速公路中壢休息站),星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(25.004332, 121.251936)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務"
慶城門市,台北市松山區慶城街1號1樓,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:30~21:00,"(25.052553, 121.544457)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
忠孝延吉門市,台北市大安區忠孝東路四段230號,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:30~21:00,"(25.041291, 121.553922)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
北醫門市,台北市信義區吳興街252號1樓,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六 07:00~18:00，星期日 08:30~18:00,"(25.027162, 121.563063)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Starbucks Wi-Fi 無線上網"
北醫吳興門市,台北市信義區吳興街220巷1號,星期一、星期二、星期三、星期四、星期五、星期六 07:00~21:00，星期日 07:30~20:30,"(25.027694, 121.562945)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
南山門市,台北市信義區莊敬路168號1F (位於南山人壽總部大樓),星期一、星期二、星期三、星期四、星期五 07:30~18:30,"(25.031731, 121.561236)",Starbucks Wi-Fi 無線上網
台視門市,台北市松山區八德路三段10號,星期一、星期二、星期三、星期四、星期日 07:00~21:00，星期五 07:00~21:30，星期六 07:00~20:00,"(25.048081, 121.550496)",Starbucks Wi-Fi 無線上網
微風南京門市,台北市松山區南京東路三段337號一樓,星期一、星期二、星期三、星期日 11:00~21:30，星期四、星期五、星期六 11:00~22:00,"(25.052189, 121.548679)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
世貿一館門市,台北市信義區信義路五段5號1樓 (近世貿一館基隆路方向13號出入口),星期一、星期二、星期三、星期四、星期五 07:30~19:00,"(25.034145, 121.561824)","Nitro Cold Brew 氮氣冷萃咖啡, Starbucks Wi-Fi 無線上網"
中原大學門市,桃園市中壢區中北路200號,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:30~18:00,"(24.957199, 121.240801)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
華視門市,台北市大安區光復南路180巷14號,星期一、星期二、星期三、星期四、星期五 07:00~21:30，星期六、星期日 07:30~21:00,"(25.042456, 121.556714)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
龍權門市,台北市中山區民權東路三段22號1樓,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:30~21:00,"(25.062129, 121.540627)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
101門市,台北市信義區市府路45號1樓 (101辦公大樓1樓B.C室) (辦公大樓出入口僅限員工出入；101商場B1美食廣場有手扶梯通往門市),星期一、星期二、星期三、星期四、星期五 07:30~19:30,"(25.033114, 121.563672)",Starbucks Wi-Fi 無線上網
敦化門市,台北市松山區敦化北路147號1樓,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 08:00~16:30,"(25.053886, 121.549316)",Starbucks Wi-Fi 無線上網
101典藏門市,台北市信義區市府路45號B1,星期一、星期二、星期三、星期四 07:30~21:30，星期五 07:30~22:00，星期六 08:00~22:00，星期日 08:00~21:30,"(25.03293, 121.564492)","Nitro Cold Brew 氮氣冷萃咖啡, Pour Over 手沖咖啡, Starbucks Reserve™ 典藏咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
宏泰門市,台北市松山區民生東路三段156-1號,星期一、星期二、星期三、星期四、星期五 07:00~20:00，星期六、星期日 08:00~16:00,"(25.057405, 121.547644)","Pour Over 手沖咖啡, Starbucks Reserve™ 典藏咖啡, Starbucks Wi-Fi 無線上網"
民權門市,台北市中山區民權東路三段88號1樓,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:30~21:00,"(25.062082, 121.543995)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
北寧門市,台北市松山區南京東路四段56號1樓,星期一、星期二、星期三、星期四、星期五 06:30~21:30，星期六 07:30~20:30，星期日 08:00~19:30,"(25.051458, 121.553725)",Starbucks Wi-Fi 無線上網
信義經貿門市,台北市信義區信義路五段106號1樓,星期一、星期二、星期三、星期四、星期五 07:30~19:00，星期六、星期日 08:30~17:30,"(25.032685, 121.566659)","Outdoor Pickup 店外取餐, Starbucks Wi-Fi 無線上網"
微風南山門市,台北市信義區松智路17號一樓,星期一、星期二、星期三 08:00~21:30，星期四、星期五 08:00~22:00，星期六、星期日 11:00~22:00,"(25.034728, 121.566198)","Nitro Cold Brew 氮氣冷萃咖啡, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
士林承德門市,台北市士林區承德路四段67號,星期一、星期二、星期三、星期四、星期五 07:00~21:30，星期六、星期日 07:30~21:30,"(25.0817039, 121.523222)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
信義南山門市,台北市信義區松仁路100號2樓,星期一、星期二、星期三、星期四、星期五 07:30~20:00，星期六、星期日 11:00~18:30,"(25.034357, 121.567039)",Starbucks Wi-Fi 無線上網
新光門市,台北市信義區松壽路11號1樓,星期一、星期二、星期三、星期四、星期日 11:00~21:30，星期五、星期六 11:00~22:00,"(25.036805, 121.567014)",Borrow & Return a Cup 循環杯租借/歸還服務
台北時代門市,台北市信義區忠孝東路五段8號2樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00,"(25.040795, 121.564725)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
中壢大潤發門市,桃園市中壢區中北路二段468號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~21:30,"(24.954940, 121.234720)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
時代B2門市,台北市信義區忠孝東路5段8號B2 (無糕點加熱服務),星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00,"(25.040665, 121.565443)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
遠百A13門市,台北市信義區松仁路58號B2,星期一、星期二、星期三、星期四、星期日 11:00~21:30，星期五、星期六 11:00~22:00,"(25.037103, 121.567955)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
Bellavita-B1門市,台北市信義區松仁路28號B1,星期一、星期二、星期三、星期四、星期日 11:00~21:30，星期五、星期六 11:00~22:00,"(25.039297, 121.567501)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
松仁門市,台北市信義區松仁路7號1樓,星期一、星期二、星期三、星期四、星期五 07:00~18:00,"(25.038232, 121.568814)",Starbucks Wi-Fi 無線上網
松機T2門市,台北市松山區敦化北路340之10號2樓(第二航廈),星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~19:00,"(25.063785, 121.550334)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
松山機場門市,台北市松山區敦化北路340-9號2F (一航廈),星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~19:00,"(25.063677, 121.551881)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
信義松德門市,台北市信義區信義路六段1號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~19:30,"(25.033963, 121.574852)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
東興門市,台北市信義區東興路37號,星期一、星期二、星期三、星期四、星期五 07:00~18:00,"(25.048003, 121.566126)",Starbucks Wi-Fi 無線上網
南京三民門市,台北市松山區南京東路五段171號1樓,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00,"(25.051548, 121.563567)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
科教館門市,台北市士林區士商路189號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:00~18:00,"(25.095941, 121.516383)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
永春門市,台北市信義區忠孝東路五段297號1樓,星期一、星期二、星期三、星期四、星期五 06:30~21:30，星期六、星期日 07:00~21:30,"(25.041086, 121.573738)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Outdoor Pickup 店外取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
民生三民門市,台北市松山區民生東路五段150之1號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30,"(25.058559, 121.562459)","Bake-in 新鮮現烤, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
中壢元化門市,桃園市中壢區元化路305號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00,"(24.962233, 121.225108)",Starbucks Wi-Fi 無線上網
復興門市,桃園市中壢區中山路138號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00,"(24.956081, 121.224645)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
士捷門市,台北市士林區中正路239號,星期一、星期二、星期三、星期四、星期五 06:30~21:30，星期六、星期日 07:00~21:30,"(25.095184, 121.52588)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
中壢海華門市,桃園市中壢區九和二街13號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00,"(24.963181, 121.223419)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
中壢大江門市,桃園市中壢區中園路二段509號1樓,星期一、星期二、星期三、星期四、星期日 11:00~22:00，星期五、星期六 11:00~22:30,"(25.001673, 121.229018)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
關渡門市,台北市北投區大度路三段296巷45號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:30,"(25.124679, 121.466940)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
實踐門市,台北市中山區大直街70號1樓,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:30~21:00,"(25.083502, 121.546222)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
松山車站門市,台北市信義區松山路11號1樓,星期一、星期二、星期三、星期四、星期五 07:00~22:00，星期六、星期日 08:00~22:00,"(25.049098, 121.578833)","Nitro Cold Brew 氮氣冷萃咖啡, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
後山埤門市,台北市南港區忠孝東路五段968號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~21:00,"(25.044274, 121.582222)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
華碩二門市,台北市北投區立德路115號3樓,星期一、星期二、星期三、星期四、星期五 08:00~18:00,"(25.127033, 121.470465)",Nitro Cold Brew 氮氣冷萃咖啡
天母崇光門市,台北市士林區中山北路六段77號B1,星期一、星期二、星期三、星期四、星期日 09:00~21:30，星期五、星期六 09:00~22:00,"(25.105114, 121.524596)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務"
深坑東南門市,新北市深坑區北深路三段152號,星期一、星期二、星期三、星期四、星期五 07:30~18:00，星期六、星期日 08:30~17:00,"(25.003104, 121.603381)","Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
大直植福門市,台北市中山區敬業二路115號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00,"(25.083202, 121.554252)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
美麗華門市,台北市中山區敬業三路20號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:30~22:00,"(25.083752, 121.556488)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
大直樂群門市,台北市中山區樂群二路 267 號 1-2F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:00,"(25.080202, 121.560322)","Pour Over 手沖咖啡, Starbucks Wi-Fi 無線上網"
舊宗門市,台北市內湖區舊宗路一段188號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:00~21:00,"(25.06273, 121.576011)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
舊宗新湖門市,台北市內湖區新湖二路128號,星期一、星期二、星期三、星期四、星期五 07:00~18:00，星期六、星期日 09:00~17:30,"(25.062436, 121.578749)","Bake-in 新鮮現烤, Starbucks Wi-Fi 無線上網"
石牌門市,台北市北投區石牌路二段74號1~3樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(25.116575, 121.51621)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
基湖門市,台北市內湖區基湖路25號,星期一、星期二、星期三、星期四、星期五 07:00~18:00，星期六、星期日 07:30~16:00,"(25.080396, 121.565059)",Starbucks Wi-Fi 無線上網
華泰三期門市,桃園市中壢區春德路159號,星期一、星期二、星期三、星期四、星期五 11:00~21:00，星期六、星期日 11:00~22:00,"(25.016891, 121.217240)","Nitro Cold Brew 氮氣冷萃咖啡, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
瑞傳門市,台北市內湖區瑞光路476號,星期一、星期二、星期三、星期四、星期五 07:00~18:00,"(25.078626, 121.569593)",Starbucks Wi-Fi 無線上網
青埔門市(高鐵站),桃園市中壢區高鐵北路一段6號 (高鐵桃園站1號出口),星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:00~22:30,"(25.0130935, 121.215217)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務"
龍潭中科院門市,桃園市龍潭區中正路佳安段481號 (中科院新新餐廳1F),星期一到五 07:00~18:00，星期六到日 休息,"(24.84781, 121.246265)",Starbucks Wi-Fi 無線上網
瑞洲門市,台北市內湖區瑞光路583巷28號1樓,星期一、星期二、星期三、星期四、星期五 07:00~18:00,"(25.080736, 121.56830)","Nitro Cold Brew 氮氣冷萃咖啡, Outdoor Pickup 店外取餐, Starbucks Wi-Fi 無線上網"
